ID,ClusterID,Title,QuestionContent,SolutionContent,Components,Symptoms,Resolutions
1030,A,full screen with youtube issue,click full screen button on youtube window and it goes full then immediately goes back to the smaller window.‘_ click the full screen button again and it goes full screen.‘_ kinda weird.‘_  ‘_ ‘_ macbook pro - sierra 10.12.6 - i7 processor - ssd drive,"try starting up in safe mode. ‘_ ‘_‘_‘_ start up in safe mode. ‘_‘_‘_ https://support.apple.com/en-us/ht201262 ‘_‘_‘_ once in safe mode, click the _„ñrestart_„ button at the bottom.","screen,screen,button,window,window,screen,button,screen,sierra,i7,processor,ssd,drive,button","full,screen,youtube,issue,click,full,screen,button,youtube,window,full,back,smaller,window,click,full,screen,button,full,screen,kinda,weird,macbook,pro,sierra,processor,ssd,drive","start,safe,mode,start,safe,mode,safe,mode,click,restart,button,bottom"
1286,A,lights are on but nobody's home.,"i recently had a frayed power brick spark and die on me.‘_ after that happened my 2010 mbp won't turn on completely.‘_ i hear the 'bong' sound when i hit the power button, i hear the fan turn on, i see the light up front turn on, and i can tell that the screen awakens for a moment but then goes black again. even after the screen goes pitch black the fan continues to run for a minute and then eventually turns off. i've tried connecting an external monitor but still no picture. the backlight on the keyboard does not turn on at all but the lights that show the battery strength on the side do still show that there is more than half a charge left.‘_  ‘_ did i kill my logic board when the power supply sparked? being that this is a 7 year old computer should i just send it off to the recyclers for spare parts and scrap?","it might be worth resetting the smc a few more times, as this sounds like a power problem. and do you have a known good power adaptor? ‘_ also, try a nvram reset: ‘_ how to reset nvram on your mac - apple support ‘_ if no joy, if you have access to an apple store, it might be worth making an appointment at the genius bar for a free diagnosis. if anything got done it it might just be the magsafe dc in board, which at ~$25 is way cheaper to replace than a logic board. ‘_ https://www.ifixit.com/guide/macbook+pro+15-inch+uni+mid+2010+magsafe+dc-in+ board+replacement/3098 ‘_ but it would be a good idea to get a definite diagnosis first so you know what you're dealing with. your mac is definitely worth fixing if the fix is inexpensive. ‘_ good luck!","light,power,power button,fan,light,screen,screen,fan,monitor,keyboard,light,battery,charge,logic board,power supply,smc,power,power,adaptor,nvram,genius bar,magsafe,logic board","light,fray,power,brick,die,happen,mbp,turn,hear,sound,hit,power,button,hear,fan,turn,light,front,turn,screen,moment,black,screen,black,fan,continue,run,turn,backlight,keyboard,turn,light,show,battery,side,show,half,charge,leave,kill,logic,board,power,supply,old,computer,send,part","worth,reset,smc,sound,power,problem,known,good,power,adaptor,nvram,reset,reset,nvram,mac,apple,support,access,apple,store,worth,make,appointment,genius,bar,free,diagnosis,magsafe,board,cheaper,replace,logic,board,board,good,idea,diagnosis,deal,mac,worth,fix,fix,good,luck"
1031,A,very low brightness when resuming from sleep,"my 15' mbp (2017) has the annoying habit to not restore the original brightness when resuming from sleep, even when on power adapter.‘_ i always have to turn the brightness up from a very low level. display is set to turn off after 15', which should imo not have a hand in the situation described. ‘_ all input appreciated ‘_ best pascal",‘_‘_‘_‘_‘_ reset nvram/pram.‘_ http://support.apple.com/kb/ph18761 ‘_‘_‘_‘_‘_‘_‘_  ‘_‘_‘_‘_‘_ reset smc. choose the method for _„ñif the battery is non-removable_„. ‘_‘_‘_‘_‘_ https://support.apple.com/en-us/ht201295,"power adapter,display,input,smc,battery","low,brightness,sleep,turn,brightness,low,level,display,set,turn,hand,situation,describe,input,appreciate,best","reset,nvram/pram,reset,smc,choose,method,battery"
1032,A,safari tab with shadows,"good morning,  ‘_ i have a macbook pro a1708, operating system sierra 10.13.2. i have realised that when i open a new blank safari tab, the panel is not completely white but displays some 'shadows', probably from the desktop picture (please see the photo of my safari tab below). i was wondering if this is okay.  ‘_ thank you very much ‘_",this is normal. this is the effect of transparency feature. desktop‘_ picture color shows through. some users turn this off. ‘_ system preferences > accessibility > display > reduce transparency ‘_ ‘_,"sierra,desktop,photo,desktop,preference,display","safari,tab,good,morning,macbook,pro,operate,system,sierra,realise,open,blank,safari,tab,panel,white,display,desktop,picture,photo,safari,tab","normal,effect,feature,desktop,picture,color,show,user,turn,system,preference,accessibility,display,reduce"
1033,A,display sleep,"hi, i just wanted to know if using hot corners to sleep the display will suspend any downloads or other actions which would usually be suspended in system sleep.  ‘_ thanks, macfc",should not effect it assuming you have power nap check boxed and app store check boxed. i'd also think it simulates display sleep and also mac sleep if you have those set properly in energy pane. even if you only have display sleep showing both will happen.,"display,display,power,display,display","display,sleep,hot,corner,sleep,display,download,action,system,sleep","effect,assume,power,check,box,app,store,check,box,display,sleep,mac,sleep,set,energy,pane,display,sleep,show,happen"
1289,A,34' lg ultrawide and mbpr 15'sierra resolution issue,"please advise, folks ‘_ 34' lg ultrawide and mbpr 15'nvidia geforce os sierra not supporting the native resolution. ‘_  ‘_","actually, i have 25' model um25. however, sierra recognizes it as um34 anyway and i'm having exactly the same issue. i updated to sierra yesterday.","sierra,resolution,os,resolution,sierra,sierra","sierra,resolution,issue","model,sierra,recognize,issue,update,sierra"
1290,A,external monitor not connecting at native resolution,"i have a 2016 13' touchbar macbook pro and two 27' displays, one is an eizo and the other is an asus and they both have a native resolution of 2.7k (2560 x 1440). today i bought 2 identical usb-c to hdmi cables and connected the displays to my macbook. ‘_ the asus immediately detected the correct resolution and is fine. the eizo however connected at 1080p and it doesn't have any options to go any higher. i've tried connecting each display one at a time so that the macbook is only powering one external display and that doesn't make a difference; the eizo always connects at 1080p and the asus always connects at 2.7k. i've also tried connecting the eizo to each of the usb-c ports, and i've swapped the usb-c to hdmi cables between the asus and eizo displays. no joy. no matter what configuration i try, the eizo will always connect at 1080p while the asus connects at 2.7k. ‘_ about a year ago i had, and sold, a mid-2014 retina macbook pro and it detected the eizo's native resolution correctly so i know that at least as far as el capitan was concerned, os x had the ability to correctly work with the eizo. ‘_ any ideas what could be happening here?‘_","hi, ‘_ you've done all the necessary troubleshooting. nothing is left but the eizo display. it may be incompatible with sierra.","monitor,resolution,display,resolution,usb-c,cable,display,resolution,display,display,port,cable,display,retina,resolution,os x,display,sierra","external,monitor,connect,native,resolution,touchbar,macbook,pro,display,asus,native,resolution,asus,detect,correct,resolution,fine,connect,option,higher,idea,happen","troubleshooting,leave,display,sierra"
1035,A,macbook screen goes black after a few minutes,"i recently had my macbook pro 2010 13' model repaired with a new hard drive since the last one failed when i got it repaired from a dodgy apple re-seller a year ago.  when we ran system diagnostics at the apple store they said the only thing they found a problem with was the old hard drive. everything else on the screen indicated that it was working perfectly i now have a ssd which works great, instead of a hard disk. but now when i leave my computer running about 3 minutes later the screen turns black. it's not a big deal but i just keep thinking that the computer turns itself off when it didn't. it goes black every time i leave the machine. however, in preferences, put hard disk to sleep whenever possible is unchecked, and i have turned the screen saver off, but the screen still goes off. i have tried looking through many different online sites about this issue but none have come up with any acceptable details or solutions. please help.","maybe it is just the energy saver. check this. clic on the apple logo, top top left left corner of the screen... clic on system preferences‘_ then 'energy saver' you have two choices: 1- see of the display sleep‘_ level is at 3 minutes, then that is the problem(. i put mine at 15minutes or more). if it is set a 1 hour and still the screen goes to black after 3 minutes then 2- uncheck the box 'put hard disk to sleep whenever possible' ‘_ hope that helps","screen,drive,drive,screen,ssd,disk,screen,preference,disk,screen,screen,site,screen,preference,display,screen,box,disk","macbook,screen,black,run,system,diagnostic,apple,store,problem,old,hard,drive,screen,work,ssd,work,great,hard,disk,leave,computer,run,screen,turn,black,big,deal,computer,turn,black,leave,machine,preference,put,hard,disk,sleep,unchecked,turn,screen,saver,screen","energy,saver,check,apple,logo,top,top,left,leave,corner,screen,system,preference,energy,saver,choice,display,sleep,level,problem,put,mine,set,screen,black,uncheck,box,put,hard,disk,sleep,hope"
1291,A,lg 5k ultra fine works with lenovo?,"hi, is it possible to connect lenovo laptop t450s to new lg 5k ultra fine display? lenovo has a vga and mini-hdmi connectors. lg 5k has 3 usb-c ports. thanks a lot","that lg 5k display is strictly thunderbolt-3/usb-c. nothing less will do. not vga, not hdmi, not dvi, not displayport of any description or adaptation, not thunderbolt-2.","display,connector,port,display,usb-c,hdmus,dvi,displayport","ultra,fine,work,connect,lenovo,laptop,ultra,fine,display,lenovo,vga,connector,usb-c,port,lot","display,usb-c,vga,hdmus,dvi,displayport,description,thunderbolt-2"
1292,A,"monitor options macbook pro 15 mid-2012 (10,1)","i would like to upgrade to a 32-38 inch monitor.‘_ i have a mid 2012 macbook pro 15 (10,1) with a nvidia geforce gt 650m graphics card. ‘_ according to nvidia's web site, the card's maximal resolution is 3840 x 2160.‘_‘_ the monitors i am interested in have resolutions of 3440 x 1440 at 60 hz or 3840 x 1600.‘_ i assume i would connect to these displays through my hdmi port.‘_ apple's web site indicates that my older macbook will not run 4k, but i do not believe these are 4k displays. ‘_ will my computer work with these 2 monitors or would i need to upgrade to a newer macbook? ‘_ thanks in advance. ‘_ roosevelt.","according to everymac.com, display resolution is limited to less than what you are seeking: ‘_ ‘_ ‘_ ‘_","monitor,monitor,graphic,site,resolution,monitor,resolution,display,hdmus port,site,4k,display,monitor,resolution","monitor,option,macbook,pro,mid-2012,upgrade,inch,monitor,mid,macbook,pro,nvidia,geforce,graphic,card,accord,nvidium,web,site,card,resolution,monitor,interested,resolution,assume,connect,display,hdmus,port,apple,web,site,older,macbook,run,display,computer,work,monitor,upgrade,newer,macbook,advance","accord,display,resolution,limit"
1037,A,macbook pro external monitors,"hi, ‘_ i was just wondering how many external monitors a 15inch macbook pro could support?",macbook pro - technical specifications - apple scroll down to the video support section.,"monitor,monitor,specification,video","macbook,pro,external,monitor","macbook,pro,technical,specification,apple,scroll,video,support,section"
1293,A,"after air playing, my macbook pro (with retina display) screen won't go back to normal.","i air played something last night from my macbook pro to the atv and after that the screen has not returned to normal. there are black borders on the top and the bottom of my screen, and overall the screen is more pixely than usual. i restarted it once to see if that would fix it, then shut it completely down for an hour, but there are still black borders on the top and bottom of my screen, and it is more pixely looking than normal. overall, it seems to be working fine, the display is the only problem and it's kinda irritating. help would be appreciated!!","if you go to Ç£>system preferences>display, display tab, how is it set? default or scaled? and is airplay at the bottom off or on? if you have default selected and airplay off, you should be back at your normal resolution. ‘_ good luck!","retina display,screen,screen,screen,screen,screen,display,preference,display,resolution","air,macbook,pro,retina,display,screen,back,air,play,macbook,pro,screen,return,normal,black,top,bottom,screen,screen,usual,work,fine,display,problem,kinda","system,preference,display,display,tab,set,default,scale,airplay,bottom,default,select,airplay,back,normal,resolution,good,luck"
1038,A,how can i get the mac os high sierra wallpaper on my macbook pro?,,"welcome to the apple support communities! to answer your question, there are two ways to get the macos high sierra wallpaper images on your macbook pro. you can either 1) update to macos high sierra, or you could 2) ask someone who has this operating system installed ‘_to copy the files and share them with you. ‘_they are located in the /library /desktop pictures folder.all the best to you in 2018!","sierra,community,maco,sierra,image,sierra,operating system,file,desktop","mac,high,sierra,wallpaper,macbook,pro","welcome,apple,support,community,answer,question,maco,high,sierra,image,macbook,pro,update,maco,high,sierra,operating,system,install,copy,file,share,located,library,desktop,picture,best"
1294,A,wifi stops working when i close the lid of my macbook pro - may be solution,"situation - macbook pro connected to thunderbolt display with wireless keyboard and magic mouse.‘_  ‘_ i had an issue which i think a lot of people have that the moment you close the macbook pro lid while its connected to the apple thunderbolt display, the wifi stops working. it was happening in my case also. i tried reseting the smc, nvram, safe boot, new user account, internet sharing but nothing worked.  ‘_ the first customer care asked me if i could change the position to rule out interference. i didnt understand. i thought may be he was clueless too because if there was my macbook wont work properly when the lid is opened. the whole time my macbook was placed on the left side of display. i was now using my moms laptop placed right in front of me to chat with customer care. in between i connected my thunderbolt display to moms macbook and even after closing the lid the internet worked fine (little slow but fine). i didnt understand so i swapped positions of both the laptops and this time the internet worked fine with my laptops lid closed (slow but fine). considering the first customer cares advice this time i put the laptop right under the apple display on its silver stand and to my surprise the internet started working just fine. it was as fast as it normally did. i was so confused. i had no idea what this discovery was.  ‘_ i tried to load the same page by keeping my laptop at different distances, surprisingly keeping my laptop on the previous position (left diagonal of the display) would not work as before but keeping it under the display would work absolutely fine and it would detect all the wireless networks also.  ‘_ everyone else who has the same problem? can you please try this out and tell me ‘_ anyone else who could explain this scenario?  ‘_ ps: i am writing this whole thread with my macbook lid closed and kept under the display.","at some blog i read about changing the channels of the router but that didnt work. i had guessed it wont because it stopped showing any networks. usually there are about 5-6 networks that it scans.  ‘_ during the time when this wasnt working and it wasnt scanning any networks, i noticed that it did scan my iphones hotspot.","wifus,lid,thunderbolt display,keyboard,mouse,lid,thunderbolt display,wifus,case,smc,nvram,boot,account,internet,lid,display,thunderbolt display,lid,internet,internet,lid,display,internet,page,display,display,network,lid,display,router,network,network,network,iphone","wifus,stop,work,close,lid,macbook,pro,solution,situation,macbook,pro,connect,thunderbolt,display,wireless,keyboard,magic,mouse,issue,lot,people,moment,close,macbook,pro,lid,connect,apple,thunderbolt,display,wifus,stop,work,happen,case,customer,care,change,position,rule,understand,thought,macbook,wont,work,lid,open,macbook,place,left,side,display,laptop,place,front,chat,customer,care,connect,thunderbolt,display,macbook,close,lid,internet,work,fine,slow,fine,understand,swap,position,laptop,internet,work,fine,laptop,lid,close,slow,fine,consider,customer,care,advice,put,laptop,apple,display,silver,stand,surprise,internet,start,work,fine,fast,confused,idea,problem,write,thread,macbook,lid,close,display","read,change,router,work,guess,stop,show,network,network,scan,scanning,network,scan,iphone,hotspot"
1039,A,macbook washed out display colours,"i bought a new macbook pro about 2 months ago, i am facing weird problem. sometimes when i start it or wake it from sleep, colours on display look pretty faded. restarting fixes the problem. this has happened to me about 4 times within a week. is this a hardware problem or some kind of software bug. i am really worried, someone please help.","good plan, although i wonder if a pic will capture it. i would take the pic of something stationary and repeatable, like a colorful pic. then you can take both a before and after pic so they can see the difference with exactly the same pic/setup.","display,display,hardware,software","macbook,display,colour,start,wake,sleep,colour,display,happen,hardware,problem,kind,software,bug","good,plan,capture,difference"
